Unique Names	NameCopy	MatchedViaf	Length	Manual Viaf	Notes
Desider Kosztolanyi	Kosztolányi, Dezső, 1885-1936	17232459			
Fran Kralj	Kralj, Francè, 1895-1960	25448298			
Feliks Krassowski	Krassowski, Feliks	161449924			
Karl Kraus	Kraus, Karl, 1874-1936	44300932			
Fritz Kreuzig	Kreuzig, Fritz	45297173			
Karl Heinz Kroll	Kröll, Karl Heinz	120977742			
Dr. Kröner	Kröner				
Arthur Kronfeld	Kronfeld, Arthur, 1886-1941	52486934			
Stanislaw Kubicki	Kubicki, Stanislaw, 1889-1943	18023858			
Kurt Küchler	Küchler, Kurt 1883-1925	45057987			
Lothar von Kunowski	Kunowski, Lothar von	3226744			
Kurt Fr. Kronfeld	Kurt Fr. Kronfeld		17		
Kurt Liebmunn	Kurt Liebmunn				
Rudolf Kurtz	Kurtz, Rudolf, 1884-1960	37671924			
L. H	L. H		4		
L. H. Neitzel	L. H. Neitzel		13	http://viaf.org/viaf/270349836/	
L. Kainer	L. Kainer		9		
L. L	L. L		4		
L. Wachlmeier	L. Wachlmeier		13		
Rudolf von Laban	Laban, Rudolf von 1879-1958	39418539			
Jules Laforgue	Laforgue, Jules, 1860-1887	34458905			
John Landquist	Landquist, John, 1881-1974	68987771			
Frantisek Langer	Langer, František, 1888-1965	12430171			
Egon Löwy	Lánský, Egon T., 1934-	56427150			
Lao-Tse	Laozi.	100199971			
Werner Peter Larsen	Larsen, Werner Peter	60063271			
Else Lasker-Schüler	Lasker-Schüler, Else, 1869-1945	61565628			
Else Lasker–Schüler	Lasker-Schüler, Else, 1869-1945	61565628			
Marie Laurencin	Laurencin, Marie, 1883-1956	122131844			
Sophie van Leer	Leer, Sophie van, 1892-1953	72288041			
Fernand Léger	Léger, Fernand, 1881-1955	34459370			
Alfred Lemm	Lemm, Alfred, 1889-1918	45183776			
Leonardo da Vinci	Leonardo, da Vinci, 1452-1519.	24604287			
Alfred Lichtenstein	Lichtenstein, Alfred, 1889-1914	71423827			
Kurt Liebmann	Liebmann, Kurt, 1897-	37681931			
Detlev von Liliencron	Liliencron, Detlev von 1844-1909	27159252			
Georges Linze	Linze, Georges, 1900-1993	110390431			
JOE LOE	Loewenstein, Josef	170858151			
Adolf Loos	Loos, Adolf, 1870-1933	17225994			
Lothar	Lothar				
Lothar Schleyer	Lothar Schleyer			http://viaf.org/viaf/69038593	
Lotte Schubart	Lotte Schubart				
Ernst Wilhelm Lotz	Lotz, Ernst Wilhelm	61695593			
Ernst Wilhelm Lötz	Lotz, Ernst Wilhelm	61695593			
Louis ARAGON	Louis ARAGON				
Ludwig Kainer	Ludwig Kainer	64274851			
Ludwig Kassàk	Ludwig Kassàk				
Ludwig Kassák	Ludwig Kassàk				
Ludwig Segebarth	Ludwig Segebarth				
Oskar Lüthy	Lüthy, Oscar, 1882-1945	81605025			
Joseph August Lux	Lux, Joseph Aug. (Joseph August), 1871-1947	59858503			
Joseph Aug. Lux	Lux, Joseph Aug. (Joseph August), 1871-1947	59858503	15		
M. Melzer	M. Melzer		9	http://viaf.org/viaf/30298819	
M. R. Schönlank	M. R. Schönlank		15		
M. Seuphor	M. Seuphor		10		
M. Szczuka	M. Szczuka		10		
August Macke	Macke, August, 1887-1914	19686273			
Emil Maetzel	Maetzel, Emil, 1877-1955	69872452			
Emile Malespine	Malespine, Emile 1892-1925	51902152			
Malevitsch	Malevich, Kazimir Severinovich, 1878-1935	14773228			
Man Ray	Man Ray, 1890-1976	7396101			
Manfred Adam	Manfred Adam				
Marcel Darimont	Marcel Darimont				nolink
Louis Marcoussis	Marcoussis, Louis, 1878-1941	100272527			
Marie Pukl	Marie Pukl				nolink
Marij Kogoj	Marij Kogoj				
Marijan Marik	Marijan Marik				nolink
F. T. Marinetti	Marinetti, F. T., 1876-1944	4933263	15	http://viaf.org/viaf/4933263	
Marja Enid	Marja Enid				nolink
Hans Mattis Teutsch	Máttis-Teutsch, János, 1884-1960	804354			
Maurice Casteels	Maurice Casteels				
Max Ernst	Max Ernst				
Max Fröhlich	Max Fröhlich				
Max Morise	Max Morise				
Max Steiner	Max Steiner				
M. H. Maxy	Maxy, M. H., 1895-1971	49048962	10		
Hans Mayer	Mayer, Hans, 1907 March 19-2001	73857245			
Mc. R. Err	Mc. R. Err		10		No Viaf Results
Walter Mehring	Mehring, Walter, 1896-1981	27068501			
Ludwig Meidner	Meidner, Ludwig, 1884-1966	7603180			
Rudolf Meissner	Meißner, Rudolf, 1863-1948	9924179			
Moriz Melzer	Melzer, Moritz, 1877-1966	30298819			
Erich Mendelsohn	Mendelsohn, Erich, 1887-1953	64036345			
Carl Mense	Mense, Carlo, 1886-1965	18025464			
Jean Metzinger	Metzinger, Jean, 1883-1956	25400846			
Michael Lainoff	Michael Lainoff				
Michael Larionow	Michael Larionow				
Michel Puy	Michel Puy				
Lioubomir Mitzitch	Micić, Ljubomir, 1895-1971	45114101			
Mietschislaw Schtscuka	Mietschislaw Schtscuka				
Paul Mieville	Miéville, Paul 1941-...	251044279			
Minimax	Minimax				
N. M. Minski	Minskiĭ, N. M. (Nikolaĭ Maksimovich), 1855-1937	50266497	12		
Octave Mirbeau	Mirbeau, Octave, 1848-1917	100204602			
Moholy-Nagy	Moholy-Nagy, László, 1895-1946.	22203431			
Laszlo Moholy-Nagy	Moholy-Nagy, László, 1895-1946.	22203431			
L. Moholy-Nagy	Moholy-Nagy, László, 1895-1946.	22203431	14		
Otto Moeller	Möller, Otto 1883-1964	13075544			
Johannes Molzahn	Molzahn, Johannes, 1892-1965	71521337			
Harald Landt Momberg	Momberg, Harald Landt, 1896-	225356247			
Alfred Mombert	Mombert, Alfred, 1872-1942	61592829			
Wilhelm Morgner	Morgner, Wilhelm, 1891-1917	3266011			
Zsigmond Móricz	Móricz, Zsigmond, 1879-1942	22179627			
Moritz König	Moritz König				
Moriz König	Moriz König				
Georg Muche	Muche, Georg, 1895-1987	32788841			
Müller-Kaboth	Müller-Kaboth				
Günther Mürr	Müller, Günther, 1890-1957	52471110			
Munch	Munch				
Herbert Mündel	Mundel, Herbert 1901-	50020454			
Herbert Mundel	Mundel, Herbert 1901-	50020454			
G. Münter	Munter, G. (Gerrit), 1876-1971	289490892	9		
Gabriele Münter	Münter, Gabriele, 1877-1962	51864611			
Mynona	Mynona, 1871-1946	281958886			
N. W	N. W		4		
Otto Nebel	Nebel, Otto, 1892-1973	95203050			
Oskar Nerlinger	Nerlinger, Oskar, 1893-1969	54944429			
Oscar Nerlinger	Nerlinger, Oskar, 1893-1969	54944429			
Neugierige R. R	Neugierige R. R		15		
Lilly Nevinny	Nevinny, Lilly	25588469			
VITEZLAV NEZVAL	Nezval, Vítězslav, 1900-1958	7402030			
Luciano Nicastro	Nicastro, Luciano, 1895-	27882321			
Nichts	Nichts				
Nikolaus Braun	Nikolaus Braun				
Nina-Naj	Nina-Naj				
Emil Nolde	Nolde, Emil, 1867-1956	37040576			
Heinrich Nowak	Nowak, Heinrich, 1890-1955	79133839			
O. E	O. E		4		
O. N	O. N		4		
Okkultes Drama	Okkultes Drama				
Arnold Oppel	Oppel, Arnold	61924270			
Oscar Nerliner	Oscar Nerliner				
Walther G. Oschilewski	Oschilewski, Walther Georg, 1904-	78822672	22		
Oskar Fischer	Oskar Fischer				
Oskar Graf-Berg	Oskar Graf-Berg				Oskar Graf pseudonym
Karl Ernst Osthaus	Osthaus, Karl Ernst, 1874-1921	54940791			
Wilhelm Ostwald	Ostwald, Wilhelm, 1853-1932	44372577			
Oswald Herzog	Oswald Herzog				
Otakar Kubin	Otakar Kubin				
Otto Ernst	Otto Ernst				
Otto Feyen	Otto Feyen				No Viaf Results
Otto Goedecker	Otto Goedecker				
Otto Pick	Otto Pick				
Otto Rurig	Otto Rurig				
Otto Spyka	Otto Spyka				
P. L. Flouquet	P. L. Flouquet		14		
Nico Phirosmanichvily	P'irosmanišvili, Niko, 1862-1918	285291656			
Aldo Palazzeschi	Palazzeschi, Aldo, 1885-1974	46787155			
Palucca	Palucca, Gret, 1902-1993	30332111			
Panaggi	Panaggi				
Pannaggi	Pannaggi				
Julius Pascin	Pascin, Jules, 1885-1930	97262322			
Paul Busch	Paul Busch				
Paul Ferdinand Schmidt	Paul Ferdinand Schmidt				
Paul Fort	Paul Fort				
Paul Hiller	Paul Hiller				
Paul Leppin	Paul Leppin				
Paul Mahlberg	Paul Mahlberg				
Paul NOUGE	Paul NOUGE				
Paul v. Ostayen	Paul v. Ostayen		15	http://viaf.org/viaf/14812170/	
Paul Zech	Paul Zéch			http://viaf.org/viaf/61554006/	
Paul Zéch	Paul Zéch			http://viaf.org/viaf/61554006/	
Pave Starcevic	Pave Starcevic				
Max Pechstein	Pechstein, Max, 1881-1955	5095548			
Benjamin Péret	Péret, Benjamin, 1899-1959	90640237			
Benjamin Peret	Péret, Benjamin, 1899-1959	90640237			
Peri	Peri				
Péri	Peri			http://viaf.org/viaf/77108471/	
Peter Attenberg	Peter Attenberg				
Siegfried Pfankuch	Pfankuch, Siegfried	310580552			
Gaston Picard	Picard, Gaston, 1892-	2570785			
Pablo Picasso	Picasso, Pablo, 1881-1973	15873			
Pierre Bourgeois	Pierre Bourgeois				
Pierre Flouquet	Pierre Flouquet				
Pietsch	Pietsch				
Veno Pilon	Pilon, Veno, 1896-1970	35255759			
Pitigrilli	Pitigrilli, 1893-1975	71520099			
Miroslav Ponc	Ponc, Miroslav, 1902-1976	27872806			
Jovan Popovic	Popović, Jovan Sterija, 1806-1856	71429793			
Iwan Puni	Pougny, Jean, 1892-1956	228711621			
Enrico Prampolini	Prampolini, Enrico, 1894-1956	19762459			
Primo Conti	Primo Conti				
Prof. Avgust Cernigoj	Prof. Avgust Cernigoj		21		
Prof. Avgust Černigoj	Prof. Avgust Černigoj		21		
Progreß	Progreß				
Stanislaw Przybyszewski	Przybyszewski, Stanisław, 1868-1927	64049111			
Isidor Quartner	Quartner, Isidor	5974745			
Quido Salvini	Quido Salvini				
r delaunay	r delaunay				
R. B	R. B		4		
R. K. Neumann	R. K. Neumann		13		
R. K. Neumann-Lankwitz	R. K. Neumann-Lankwitz		22		
R. Laudon	R. Laudon		9		
R. R	R. R.		5		
R R	R. R.		5		
R. Reiche	R. Reiche		9		
R.B.	R.B.				
Risto Ratkovic	Ratković, Risto	27309037			
Hilla von Rebay	Rebay, Hilla, 1890-1967	66598165			
Reinhard Goering	Reinhard Goering				
Larissa Reissner	Reĭsner, Larisa, 1895-1926	71424172			
René Schickete	René Schickele			http://viaf.org/viaf/2483774	
Reth	Reth				
Alfred Réth	Reth, Alfred, 1884-1966	27189301			
G. Ribemont-Dessaignes	Ribemont-Dessaignes, Georges, 1884-1974	96123513	22		
Georges Ribemont-Dessaignes	Ribemont-Dessaignes, Georges, 1884-1974	96123513			
Richard Fuchs	Richard Fuchs				
Richard Julius Hirschfeld	Richard Julius Hirschfeld				ambiguous viaf
Richter-Berlin	Richter-Berlin				
Riehard Dehmel	Riehard Dehmel				
Arthur Rimbaud	Rimbaud, Arthur, 1854-1891	7396281			
Thaddäus Rittner	Rittner, Tadeusz, 1873-1921	61592817			
Thaddaeus Rittner	Rittner, Tadeusz, 1873-1921	61592817			
Sem Roan	Roan, Sem	45321787			
Robert Delauany	Robert Delauany				
Robert Lewin	Robert Lewin				No Reasonable Matches
Robert Reiter	Robert Reiter				
Robert Vámbery	Robert Vámbéry				
Robert Vámbéry	Robert Vámbéry				
Franz Rolan	Rolan, Franz 1872-1934	59453369			
Roland Schacht	Roland Schacht	45071472			
F. Rosenkranz	Rosenkranz, Friedrich.	88119676	13		
Andre Rouveyre	Rouveyre, André, 1879-1962	7427978			
Ludwig Rubiner	Rubiner, Ludwig.	74645710			
Rudolf Bauer	Rudolf Bauer				
Dr. Rudolf Breitscheid	Rudolf Breitscheid				
Rudolf Leonhard	Rudolf Leonhard				
Otto Rung	Rung, Otto, 1874-1945	9672316			
Runge	Runge				
Luigi Russolo	Russolo, Luigi	51855249			
Valentine de Saint-Point	Saint-Point, Valentine de	7438282			
Albert Samain	Samain, Albert, 1858-1900	54153956			
Samuel Lublinski	Samuel Lublinski				
Sandro Malmquist	Sandro Malmquist	192633104			
Bruno G. Sanzin	Sanzin, Bruno G., 1906-	27883256			
Sar Péladan	Sar Péladan				observe context
Sar Peladan	Sar Péladan				
Richard Schaukal	Schaukal, Richard von 1874-1942	14895914			
Paul Scheerbart	Scheerbart, Paul, 1863-1915	44474928			
Peter Scher	Scher, Peter, 1880-1953	294344172			
Emil Schering	Schering, Emil, 1873-1951	47534294			
Robert Scheu	Scheu, Robert, 1873-	15540676			
René Schickele	Schickele, René, 1883-1940	2483774			
Rene Schickele	Schickele, René, 1883-1940	2483774			
Schlacht	Schlacht				
Oskar Schlemmer	Schlemmer, Oskar, 1888-1943	9910342			
Wilhelm Schlichtkrull	Schlichtkrull, Wilhelm 1902-	306292615			
Schmidt-Rottluff	Schmidt-Rottluff				
Rudolf Schmitt Sulzthal	Schmitt-Sulzthal, Rudolf 1903-1971	20441341			
Olga Schneider	Schneider, Olga	315976493			
Hugo Schreiber	Schreiber, Hugo	41556042			
Lothar Schreyer	Schreyer, Lothar, 1886-1966	69038593			
Georg Schrimpf	Schrimpf, Georg, 1889-1938	74648905			
Werner Schumitz	Schumitz, Werner 1881-1960	305341877			
Ernst Schur	Schur, Ernst, 1876-1912	8162267			
Hugo Engelbert Schwarz	Schwarz, Hugo Engelbert	57637128			
Kurt Schwerdtfeger	Schwerdtfeger, Kurt, 1897-1966	45097842			
Kurt Schwitters	Schwitters, Kurt, 1887-1948	27071479			
Schwitters	Schwitters, Kurt, 1887-1948	27071479			
KURT MERZ SCHWITTERS	Schwitters, Kurt, 1887-1948	27071479			
Marcel Schwob	Schwob, Marcel, 1867-1905	66473393			
Artur Segal	Segal, Artur	10884140			
Samuel Fridolin	Seidenberg, Samuel Fridolin	307514869			
Franz W. Seiwert	Seiwert, F. W. (Franz Wilhelm), 1894-1933	45095347	16		
Victor Servranckx	Servranckx, Victor, 1897-1965	10117306			
Emilio Settimelli	Settimelli, Emilio, 1891-	5029183			
Gino Severini	Severini, Gino, 1883-1966	54163042			
Sidney Hunt	Sidney Hunt				
Arthur Silbergleit	Silbergleit, Arthur, 1881-1943	69733754			
Siurlai	Siurlai				
Sjoerd Broersma	Sjoerd Broersma				
Hjalmar Söderberg	Söderberg, Hjalmar, 1869-1941	14783431			
Ardengo Soffici	Soffici, Ardengo, 1879-1964	34478013			
Philippe Soupault	Soupault, Philippe, 1897-1990	109453511			
Otto Soyka	Soyka, Otto, 1882-	814942			
Heinrich Spaemann	Spaemann, Heinrich	64800251			
Ludwig Speidel	Speidel, Ludwig, 1830-1906	42616364			
Christof Spengemann	Spengemann, Christof, 1877-1952	69709184			
W. Steenhoff	Steenhoff, Willem Johannes, 1863-1932	99699064	12		
Stefan Tömörkény	Stefan Tömörkény				
Stefan Wronski	Stefan Wronski				
Steglitz	Steglitz				
Moeller van de Bruck	Steinbömer, Gustav, 1881-	10640489			
Jacob Steinhardt	Steinhardt, Jacob, 1887-1968	13102912			
Sterenberg	Sterenberg				
Curt Stoermer	Stoermer, Curt	204436812			
Otto Stössl	Stoessl, Otto, 1875-1936	64035044			
Otto Stoessl	Stoessl, Otto, 1875-1936	64035044			
R. Storm-Petersen	Storm Petersen, Robert, 1882-1949	14827158	17		
Storm-Petersen	Storm Petersen, Robert, 1882-1949	14827158			
Felix Stössinger	Stössinger, Félix 1889-1954	13080553			
August Stramm	Stramm, August, 1874-1915	34471116			
Strassmann	Strassmann				
Kurt Striepe	Striepe, Kurt 1890-1918	80566349			
August Strindberg	Strindberg, August, 1849-1912	54154627			
Fritz Stuckenberg	Stuckenberg, Fritz, 1881-1944	77117143			
Hans Suschny	Suschny, Hans	42959570			
Swarzensky	Swarzensky, Lewy	57390729			
Szenenbild	Szenenbild				
Julius Szini	Szini, Julius	37959076			
T	T				
T. Zarnower	T. Zarnower		11		
Rabindranath Tagore	Tagore, Rabîndranâth, 1861-1941	24608356			
Takis Kalmouk	Takis Kalmouk				
Georg Tappert	Tappert, Georg, 1880-1957	32004797			
Bruno Taut	Taut, Bruno, 1880-1938	17257069			
Max Taut	Taut, Max, 1884-1967	71625482			
teresa zarnower	teresa zarnower				both viafs are the same person no way to pick between
Th. Fraenkel	Th. Fraenkel		12		
Th. Hellesen	Th. Hellesen		12	http://viaf.org/viaf/50035011/	
Thomas Ring	Thomas Ring			http://viaf.org/viaf/45099432	
Grete Tichauer	Tichauer, Grete	50001406			
Ton August Strindberg	Ton August Strindberg				
Tone Selišikar	Tone Selišikar				
Arnold Topp	Topp, Arnold, 1887-1945?	77394439			
Trust	Trust				
Jan Tschichold	Tschichold, Jan, 1902-1974	34468682			
Tristan TZARA	Tzara, Tristan, 1896-1963	27072443			
Maria Uhden	Uhden, Maria, 1892-1918	10641714			
GIORGIO UMANI	Umani, Giorgio	304918822			
Erich Unger	Unger, Erich, 1887-1950	36954507			
Ursel Ellen Jacoby	Ursel Ellen Jacoby				
Vasari	Vasari				
VERA IDELSON	VERA IDELSON				
Verlag Der Sturm	Verlag Der Sturm				
Max Verworn	Verworn, Max, 1863-1921	17547411			
Nande Vidmar	Vidmar, Nande	305466170			
Viktor v. Dirsztag	Viktor v. Dirsztag		18		
Viktor v. Dirsztay	Viktor v. Dirsztay		18		
Francois Villon	Villon, François, 1431-1463	7398349			
Roger Vitrac	Vitrac, Roger, 1899-1952	32004265			
Vlatislav Goth	Vlatislav Goth				
Vlatislav Hofmann	Vlatislav Hofmann				
Erich Vogeler	Vogeler, Erich	62327121			
Vordemberge-Gildewart	Vordemberge-Gildewart, Friedrich, 1899-1962	66475592			
John Jack Vrieslander	Vrieslander, John Jack 1879-1957	52467495			
W. Dexel	W. Dexel		8		
W. Lasson	W. Lasson		9		
Dr W. Pape	W. Pape		7		
W. W.	W. W.		5		
Wachlmeier	Wachlmeier				
Richard Wagner	Wagner, Richard, 1813-1883	29732107			
Waldemar George	Waldemar-George, 1893-1970	110078767			
Herwarth Walden	Walden, Herwarth, 1878-1941	24745197			
H. W	Walden, Herwarth, 1878-1941	24745197			
H. W.	Walden, Herwarth, 1878-1941	24745197			
Nell Walden	Walden, Nell	72192494			
Walter Krug	Walter Krug				ambiguous viaf
Walter Seidl	Walter Seidl				
William Wauer	Wauer, William, 1866-1962	30305880			
Frank Wedekind	Wedekind, Frank, 1864-1918	27072933			
Artur Weese	Weese, Artur, 1868-	34882708			
Otto Weininger	Weininger, Otto, 1880-1903	95214612			
Weitere Antworten folgen	Weitere Antworten folgen				UnViafable
Werner Geerts	Werner Geerts				
E. Wichman	Wichman, Erich, 1890-1929	64875097			
Wiederhold	Wiederhold				
Wilhelm Runge	Wilhelm Runge				
Willi Knobloch	Willi Knobloch				http://viaf.org/viaf/10829285/
William Blake	William Blake			http://viaf.org/viaf/54144439/	
Wilhelm Worringer	Worringer, Wilhelm, 1881-1965	27143983			
Hans Würtz	Würtz, Hans	20455996			
Walter Landschaft	XXX modified				
W Zastrow	Zastrow, Friedrich W. E. W. von 1840-	308207171			
Max Zerbst	Zerbst, Max, 18..-19..	13072914			
Zlatko Neumann	Zlatko Neumann				
Jan Zrzavy	Zrzavý, Jan	12432757			
Piet Zwart	Zwart, Piet, 1885-1977	108360675			
L'Oeil de Zinc					UnViafable
